b	1725391920	18697.100000	1725391980	18687.100000
b	1725391980	18687.100000	1725393360	18669.100000
s	1725412560	18603.800000	1725413340	18594.300000
b	1725414900	18617.800000	1725416160	18602.300000
s	1725419520	18599.800000	1725419940	18600.000000
b	1725420600	18592.000000	1725420900	18583.300000
s	1725421860	18579.300000	1725422220	18584.300000
s	1725430680	18532.200000	1725431160	18540.600000
s	1725435360	18601.600000	1725436980	18629.600000
b	1725439080	18622.600000	1725440040	18614.600000
b	1725440760	18605.600000	1725441360	18605.600000
s	1725441360	18605.600000	1725443520	18642.600000
s	1725445680	18624.600000	1725445920	18636.600000
s	1725445920	18636.600000	1725446280	18628.600000
b	1725447300	18615.600000	1725448200	18610.600000
s	1725448200	18610.600000	1725448440	18604.600000
s	1725448440	18604.600000	1725448860	18606.600000
s	1725449040	18592.600000	1725449400	18603.900000
s	1725456660	18603.600000	1725457440	18619.600000
s	1725457800	18634.600000	1725457980	18620.600000
s	1725457980	18620.600000	1725458340	18632.600000
b	1725458400	18608.800000	1725458880	18607.600000
s	1725458880	18607.600000	1725459480	18609.600000
b	1725465360	18587.600000	1725466680	18584.600000
s	1725466680	18584.600000	1725468060	18603.600000
b	1725468720	18601.600000	1725469380	18596.600000
s	1725469740	18605.600000	1725470160	18598.600000
b	1725470640	18592.600000	1725471480	18591.600000
s	1725471540	18585.600000	1725471600	18591.600000
b	1725472020	18592.600000	1725472320	18581.600000
b	1725472620	18590.600000	1725472920	18583.600000
b	1725472920	18583.600000	1725473220	18589.600000
s	1725473640	18590.600000	1725473940	18579.600000
b	1725474300	18585.600000	1725474780	18586.600000
b	1725475680	18580.600000	1725475920	18571.600000
b	1725475920	18571.600000	1725477300	18568.600000
s	1725477300	18568.600000	1725477480	18561.600000
s	1725477480	18561.600000	1725477660	18571.600000
s	1725477660	18571.600000	1725478320	18573.600000
b	1725496500	18588.300000	1725497160	18587.300000
b	1725497760	18589.300000	1725498300	18595.000000
b	1725501660	18595.300000	1725501900	18588.300000
s	1725503700	18589.300000	1725504360	18592.000000
s	1725507060	18571.300000	1725507780	18568.000000
s	1725510420	18556.300000	1725510900	18553.300000
s	1725511740	18544.200000	1725512400	18549.900000
b	1725513180	18546.900000	1725513720	18550.900000
s	1725514020	18563.800000	1725515220	18571.300000
b	1725516000	18564.300000	1725516360	18575.300000
b	1725516360	18575.300000	1725516900	18568.600000
b	1725517560	18562.600000	1725518040	18564.600000
b	1725518040	18564.600000	1725519540	18540.600000
s	1725519540	18540.600000	1725519600	18525.600000
s	1725521340	18625.600000	1725522720	18645.100000
s	1725525240	18615.600000	1725525600	18628.600000
s	1725526200	18626.600000	1725527340	18628.600000
